County,Clerk,Address,Phone,Fax,Email
Ohio,Michael E. Kelly,"1500 Chapline Street
Room 205
Wheeling, WV 26003",(304) 234–3656,(304) 234-3829,mkelly2@clerk.state.wv.us
Ohio,"Toni Chieffalo
Elections Clerk","1500 Chapline Street
Room 215
Wheeling, WV 26003",(304) 234-3750,(304) 234-3827,tchieffalo@ohiocountywv.gov
Pendleton,Elise Miller White,"100 South Main Street
P.O. Box 1167
Franklin, WV 26807",(304) 358-2505,(304) 358-2473,pendletoncounty@wvsos.com
Pleasants,Evelyn Davis,"301 Court Lane
St. Marys, WV 26170",(304) 684-3542,(304) 684-7569,pleasantscounty@wvsos.com
Pocahontas,Melissa Bennett,"900 C 10th Avenue
Marlinton, WV 24954",(304) 799-4549,(304) 799-6947,pocahontascounty@wvsos.com
Preston,Linda Huggins,"106 West Main Street
Suite 103
Kingwood, WV 26537",(304) 329-0070,(304) 329-0198,prestoncounty@wvsos.com
Putnam,Brian Wood,"12093 Winfield Rd.
Suite 3
Winfield, WV 25213",(304) 586-0202,(304) 204-1408,bwood@putnamwv.org
Raleigh,Danny Moore,"215 Main Street
Beckley, WV 25802",(304) 252-8681,(304) 252-8698,raleighcounty@wvsos.com
Randolph,Brenda Wiseman,"2 Randolph Avenue
Elkins, WV 26241",(304) 636-0543,(304) 636-0544,randolphcounty@wvsos.com
Ritchie,Tracie McDonald,"115 East Main Street
Room 201
Harrisville, WV 26362",(304) 643-2164,(304) 643-2906,tdmcdona@clerk.state.wv.us
Roane,Charles B. White,"200 Main Street
Spencer, WV 25276",(304) 927-2860,(304) 927-2489,roanecounty@wvsos.com
Summers,Mary B. Merritt,"120 Ballengee Street
Suite 106
P.O. Box 97
Hinton, WV 25951",(304) 466-7104,(304) 466-7146,summerscounty@wvsos.com
Taylor,Georgianna Thompson,"128 W. Main St., Annex 2
Grafton, WV 26354",(304) 265-1401,(304) 265-2889,taylorcounty@wvsos.com
Tucker,Sherry Simmons,"211 First Street
Suite 204
Parsons, WV 26287","(304) 478-2414
Ext. 201",(304) 478-2217,tuckercounty@wvsos.com
Tyler,Neil Archer,"121 Main Street
P.O. Box 66
Middlebourne, WV 26149",(304) 758-2102,(304) 758-2126,tylercounty@wvsos.com
Upshur,Carol Smith,"40 West Main Street
Room 101
Buckhannon, WV 26201",(304) 472-1068,(304) 472-1029,upshurcounty@wvsos.com
Wayne,Renick C. Booth,"700 Hendricks Street
P.O. Box 248
Wayne, WV 25570",(304) 272-6362,(304) 272-5318,waynecounty@wvsos.com
Webster,Eva R. Green,"2 Court Square
Room G1
Webster Springs, WV 26288",(304) 847-2508,(304) 847-7755,webstercounty@wvsos.com
Wetzel,Carol Haught,"200 Main Street
P.O. Box 156
New Martinsville, WV 26155",(304) 455-8224,(304) 455-5256,wetzelcounty@wvsos.com
Wirt,Marolyn Baldrige,"19 Washington St Room 102
P.O. Box 53
Elizabeth, WV 26143",(304) 275-4271,(304) 275-3418,wirtcounty@wvsos.com
Wood,Mark Rhodes,"1 Court Square
P.O. Box 1474
Parkersburg, WV 26101",(304) 424-1850,(304) 424-1982,woodcounty@wvsos.com
Wyoming,Jewell Aguilar,"24 Main Avenue
P.O. Box 309
Pineville, WV 24874","(304) 732-8000
Ext. 242",(304) 732-9659,wyomingcounty@wvsos.com
